iter	Passed	Remaining
399	33457	50185
400	33507	50052
401	33559	49921
402	33609	49789
403	33661	49658
404	33723	49544
405	33779	49421
406	33841	49306
407	33899	49187
408	33953	49061
409	34009	48940
410	34061	48812
411	34127	48706
412	34198	48606
413	34256	48489
414	34323	48383
415	34401	48294
416	34472	48195
417	34534	48083
418	34591	47966
419	34650	47851
420	34703	47727
421	34770	47623
422	34823	47501
423	34869	47369
424	34929	47257
425	34997	47156
426	35056	47042
427	35104	46915
428	35156	46792
429	35204	46666
430	35256	46545
431	35304	46418
432	35350	46290
433	35404	46172
434	35449	46043
435	35504	45927
436	35553	45804
437	35606	45686
438	35658	45568
439	35724	45467
440	35778	45351
441	35833	45237
442	35887	45122
443	35934	44998
444	35982	44877
445	36030	44755
446	36079	44635
447	36140	44530
448	36195	44417
449	36244	44299
450	36301	44190
451	36356	44078
452	36410	43965
453	36461	43850
454	36512	43735
455	36567	43624
456	36620	43512
457	36666	43391
458	36717	43276
459	36779	43175
460	36831	43063
461	36881	42948
462	36936	42840
463	36983	42721
464	37035	42610
465	37087	42499
466	37139	42388
467	37194	42281
468	37255	42180
469	37307	42070
470	37356	41957
471	37413	41852
472	37461	41738
473	37511	41626
474	37571	41526
475	37621	41415
476	37671	41304
477	37722	41195
478	37777	41089
479	37837	40990
480	37888	40881
481	37936	40769
482	37987	40661
483	38038	40553
484	38095	40451
485	38153	40351
486	38205	40245
487	38260	40141
488	38320	40044
489	38371	39937
490	38437	39846
491	38491	39743
492	38552	39647
493	38606	39544
494	38656	39437
495	38733	39358
496	38785	39253
497	38835	39147
498	38887	39043
499	38954	38954
500	39024	38868
501	39084	38772
502	39140	38673
503	39195	38573
504	39249	38472
505	39305	38373
506	39361	38274
507	39413	38171
508	39466	38071
509	39529	37978
510	39588	37884
511	39645	37787
512	39703	37690
513	39758	37592
514	39810	37491
515	39863	37391
516	39919	37294
517	39977	37199
518	40045	37113
519	40100	37015
520	40152	36915
521	40207	36818
522	40257	36717
523	40307	36615
524	40364	36519
525	40423	36426
526	40478	36330
527	40532	36233
528	40587	36137
529	40636	36036
530	40681	35931
531	40732	35832
532	40778	35729
533	40830	35631
534	40880	35532
535	40932	35434
536	40978	35331
537	41027	35231
538	41074	35130
539	41123	35031
540	41167	34928
541	41226	34837
542	41277	34740
543	41329	34644
544	41377	34544
545	41424	34444
546	41472	34345
547	41511	34239
548	41565	34145
549	41614	34048
550	41660	33948
551	41715	33856
552	41783	33774
