iter	RMSE
479	788237.4563
480	788125.0447
481	788045.9275
482	787157.6207
483	787064.5023
484	786618.3054
485	786533.4833
486	786331.3838
487	785868.8033
488	785378.797
489	785271.896
490	785052.8449
491	784747.332
492	784619.9225
493	784055.3857
494	783988.8538
495	783648.3017
496	783344.5031
497	783202.2449
498	783122.1981
499	782986.9972
500	782559.0602
501	782380.5444
502	782174.1739
503	782102.0695
504	781842.1019
505	781635.1561
506	781471.5567
507	781396.0917
508	781334.4479
509	780898.7628
510	780574.8448
511	780503.2259
512	780337.3808
513	780064.9943
514	780011.8142
515	779205.1475
516	778877.8564
517	778791.906
518	778700.9895
519	777933.4306
520	777729.9817
521	777677.7311
522	777505.8863
523	777321.3504
524	777258.219
525	776991.5503
526	776933.8903
527	776714.3001
528	775961.8483
529	774064.3806
530	773357.3844
531	771644.0091
532	771595.782
533	769635.7622
534	769577.0929
535	769321.1182
536	769191.6912
537	769102.6304
538	768909.7366
539	768470.137
540	768424.894
541	768221.1412
542	768108.1063
543	768016.2474
544	767467.0036
545	767240.0485
546	766717.6031
547	766694.7918
548	766485.4326
549	766431.6064
550	766378.0054
551	766111.7425
552	764681.6479
553	764658.1539
554	764498.0886
555	764305.9298
556	764255.6174
557	764048.6281
558	763903.8105
559	763775.4985
560	763630.8821
561	763549.5543
562	763226.3026
563	763162.0773
564	763000.6079
565	762532.1464
566	762423.1143
567	762255.3689
568	762160.7177
569	761910.6848
570	761852.3761
571	761714.8063
572	761687.2456
573	761268.6556
574	761020.4904
575	760926.8406
576	760523.8615
577	760401.098
578	760042.4424
579	759988.5665
580	759525.7469
581	759100.9872
582	759027.0368
583	758806.1222
584	758714.6076
585	758613.203
586	758533.0032
587	758491.3889
588	758237.7816
589	757833.9506
590	757460.2785
591	757398.7921
592	757189.6976
593	757101.0677
594	757023.9046
595	756986.9377
596	756772.24
597	756387.7315
598	756315.9186
599	756059.0161
600	755693.5905
601	755359.5164
602	755132.6437
603	755042.8675
604	754966.8753
605	754592.7088
606	754487.9116
607	754439.174
608	754305.0011
609	753974.288
610	753959.764
611	753584.1557
612	753398.2368
613	753210.83
614	753134.0984
615	753000.3954
616	752723.8357
617	752632.3464
618	752624.8174
619	752523.3257
620	752432.4832
621	752261.9961
622	751875.1062
623	751759.4104
624	751715.4993
625	751649.4673
626	751482.1981
627	751041.7389
628	750518.2755
629	750215.67
630	750081.0877
631	749969.3104
632	749876.9433
633	749680.4146
634	749489.3137
635	749276.664
636	749236.5592
637	749182.1431
638	749104.3354
639	748789.8858
640	748548.1409
641	748352.2276
642	748347.5973
643	748284.5374
644	748226.1967
645	747643.6092
646	747512.5177
647	747448.8831
648	747422.8084
649	747292.3334
650	747234.3423
651	747085.4487
652	746837.3427
653	746794.2621
654	746585.5755
655	746537.7315
656	746346.2992
657	746269.8774
658	745431.3227
659	745426.9108
660	745126.8466
661	745122.6668
662	744971.1898
663	744935.4652
664	744713.7033
665	744679.861
666	744568.7501
667	744392.8193
668	744138.8477
669	743964.7452
670	743960.7701
671	743957.0019
672	743917.986
673	743846.2497
674	743493.0479
675	743423.6907
676	743280.9383
677	743011.8391
678	742945.942
679	742810.7913
680	742505.1529
681	742395.9213
682	742291.9672
683	742237.958
684	741958.2255
685	741706.1192
686	741702.519
687	741535.387
688	741494.5399
689	741336.2412
690	741186.2871
691	741044.201
692	741017.4722
693	740938.9601
694	740852.7201
695	740677.0923
696	740056.1558
697	740052.7349
698	740049.4899
699	740006.8166
700	739894.0062
701	739852.1139
702	739758.4701
703	739623.4637
704	739104.6054
705	738764.5479
706	738715.9697
707	738625.4593
708	738497.3274
709	738338.8962
710	738268.3587
711	738121.8269
712	738065.638
713	737738.5125
714	737705.248
715	737645.0141
716	737515.329
717	737299.6028
718	737174.0674
719	737086.3036
720	737004.5233
721	736873.8531
722	736735.1453
723	736628.1485
724	736625.0619
725	736579.866
726	736325.3077
727	736246.7882
728	735772.4607
729	735666.0808
730	735434.3497
731	735431.4283
732	735309.7932
733	735173.9387
734	735171.1581
735	734956.0673
736	734671.9569
737	734667.777
738	734665.2683
739	734602.0523
740	734504.6649
741	734449.0903
742	734372.3757
743	734157.2204
744	734038.9529
745	734002.4569
746	733693.1281
747	733466.1841
748	733258.0601
749	733228.8287
750	733182.9588
751	732902.8982
752	732755.7664
753	732179.7155
754	732103.4518
755	731964.0179
756	731816.8931
757	731609.6672
758	730660.6147
759	730637.7047
760	730475.0963
761	730406.3708
762	730155.2023
763	730110.0677
764	730029.758
765	729895.8418
766	729887.0115
767	729884.7391
768	729882.5823
769	729814.4271
770	729807.1158
771	729103.6306
772	729101.694
773	729099.8557
774	729008.0524
775	728800.0823
776	728773.7537
777	728646.6422
778	728644.8677
779	728589.4543
780	728511.573
781	728150.8841
782	727968.6409
783	727846.2774
784	727723.0071
785	727476.7097
786	727473.4917
787	727122.9309
788	727033.8175
789	726980.2046
790	725775.8389
791	725741.6732
792	725663.0835
793	725621.3617
794	725568.3547
795	725506.8076
796	725443.3974
797	725401.2407
798	725338.3424
799	725281.7816
800	725114.2618
801	725096.3651
802	725052.7292
803	725028.3373
804	724969.9779
805	724803.609
806	724687.1075
807	724652.5683
808	724486.0685
809	724484.3893
810	724482.7952
811	724478.4173
812	724476.9775
813	724475.6102
814	724456.3909
815	724452.4246
816	724400.4837
817	724359.9709
818	724287.3558
819	724211.6827
820	724208.2291
821	723986.7826
822	722741.1235
823	722666.8281
824	722624.2359
825	722513.2776
826	722407.9781
827	722314.7115
828	722257.3545
829	722086.7588
830	721986.7956
831	721972.5595
832	721866.4821
833	721640.6927
834	721445.494
835	721335.4767
836	720963.6042
837	720850.7717
838	720671.7882
839	720568.0135
840	720521.3509
841	720327.7374
842	720257.8959
843	720253.2775
844	720114.596
845	720057.5073
846	719902.1104
847	719615.706
848	719471.1131
849	719405.627
850	719357.4433
851	719323.2613
852	719285.4247
853	719080.3515
854	719058.1941
855	719005.7679
856	718958.1348
857	718899.0842
858	718829.3376
859	718705.8904
860	718608.0854
861	718603.6798
862	718599.6622
863	718505.2731
864	718355.7041
865	718262.547
866	718109.8097
867	718077.7551
868	718075.66
869	718014.1963
870	717870.631
871	717732.7555
872	717633.155
873	717621.8829
874	717608.019
875	717597.1679
876	717542.5031
877	717539.7482
878	717512.1576
879	717509.2529
880	717506.7813
881	717348.6547
882	717346.1988
883	717305.1736
884	717261.65
885	717188.6259
886	717150.4693
887	717095.7066
888	717048.7667
889	717023.9841
890	716934.173
891	716902.4997
892	716363.8332
893	716182.587
894	716103.014
895	716068.6024
896	716025.697
897	715914.7646
898	715833.3315
899	715765.4726
900	715725.2365
901	715683.6531
902	715671.2323
903	715500.9123
904	715379.3324
905	715344.2132
906	715281.2824
907	715145.9423
908	715124.6655
909	714879.1425
910	714821.3775
911	714678.5957
912	714645.3668
913	714620.0806
914	714531.8848
915	714482.8821
916	714385.5493
917	714360.8142
918	713683.7748
919	712854.919
920	712699.2293
921	712661.7022
922	712305.4245
923	712272.6042
924	712223.6894
925	712173.454
926	712150.2526
927	711855.7157
928	711616.9498
929	710493.3925
930	710445.2349
931	710070.1022
932	710026.7881
933	709955.0172
934	709923.8881
935	709873.2436
936	709557.9029
937	709544.2844
938	709540.4368
939	709516.0634
940	709380.7096
941	709293.5721
942	709236.0886
943	709199.7562
944	709154.2579
945	709146.1804
946	709087.9603
947	709023.8737
948	708945.6273
949	708864.8809
950	708638.3432
951	708602.7891
952	708575.779
953	708559.0678
954	708525.2956
955	708470.4736
956	708379.0972
957	708250.8683
958	708204.7595
959	708161.2216
960	708112.2188
961	707984.5886
962	707936.8948
963	707883.1469
964	706887.7205
965	706769.5549
966	706729.1125
967	706695.6873
968	706623.3903
969	706593.803
970	706557.8826
971	706528.3786
972	706452.5716
973	706424.5481
974	706272.6622
975	706249.0503
976	706162.616
977	706136.9417
978	706099.7631
979	706018.583
980	706011.2944
981	705965.7027
982	705825.2831
983	705801.4294
984	705486.718
985	705382.1657
986	705321.5573
987	705274.5294
988	705135.8912
989	704889.5363
990	704669.8989
991	704642.7972
992	704496.5696
993	704469.8472
994	704064.8361
995	704029.831
996	703990.6057
997	703971.0317
998	703920.5736
999	703854.236
